AMI430_Y_field	ivvi_dac14	keithley_1	lockin_1_X	lockin_1_phase	lockin_1_processed	conductance
1.45	-2000.0	-0.000170218116	0.000173719	-4.194	1.2696778051474558e-05	0.16386974322163003
1.45	-1995.0	-0.000167802794	0.000154198	-3.738	1.0911948152735102e-05	0.1408340080126685
1.45	-1990.0	-0.000180145848	0.000149996	-3.678	1.0542487634985375e-05	0.13606560141937948
1.45	-1985.0	-0.000159269428	0.000149817	-3.918	1.0526860504587255e-05	0.13586391136578882
1.45	-1980.0	-0.000162753617	0.000151218	-3.96	1.0649413268096477e-05	0.13744562680618946
1.45	-1975.0	-0.000165486567	0.000156016	-4.248	1.1073366530734197e-05	0.142917338763724
1.45	-1970.0	-0.000163784171	0.000161917	-4.302	1.1603976689978362e-05	0.1497656076862505
1.45	-1965.0	-0.000168840668	0.000169546	-4.092	1.2305459977949422e-05	0.15881923418960833
1.45	-1960.0	-0.000140098206	0.000175894	-4.032	1.2902920521808663e-05	0.16653030116347728
1.45	-1955.0	-0.000114543726	0.000181974	-3.924	1.3487280740610688e-05	0.17407229005355654
1.45	-1950.0	-0.000129383773	0.000190199	-3.846	1.4297352256694283e-05	0.18452740006600246
1.45	-1945.0	-0.000124543516	0.000198216	-3.942	1.5109422190282995e-05	0.19500830246153056
1.45	-1940.0	-0.000138757902	0.000207276	-4.11	1.6055061024138526e-05	0.20721309900566728
1.45	-1935.0	-0.00011160125	0.000220151	-4.08	1.745263754867703e-05	0.22525078583300417
1.45	-1930.0	-0.000114856806	0.000231833	-4.026	1.8778729275144483e-05	0.2423658609980231
1.45	-1925.0	-0.000140206847	0.000245931	-3.834	2.045801113994531e-05	0.26403935067123135
1.45	-1920.0	-0.000154136834	0.000262441	-4.122	2.2543521189534375e-05	0.2909557852916349
1.45	-1915.0	-0.000154569334	0.000278475	-4.326	2.4703389601991447e-05	0.31883191896168395
1.45	-1910.0	-0.000106015358	0.000295045	-4.452	2.708913884288316e-05	0.3496233617916009
1.45	-1905.0	-7.6509273e-05	0.000312479	-4.536	2.9786421685059615e-05	0.38443558304581366
1.45	-1900.0	-6.42703757e-05	0.000330778	-4.5	3.284859717335202e-05	0.4239572560979601
1.45	-1895.0	-4.48682777e-05	0.000348272	-4.248	3.602535455128252e-05	0.46495776927448457
1.45	-1890.0	-5.03865523e-05	0.000358583	-4.098	3.802471828557086e-05	0.49076236477234947
1.45	-1885.0	-5.5670553e-05	0.00036362	-4.014	3.9038438114834424e-05	0.50384584212752
1.45	-1880.0	-0.000121823449	0.000362368	-4.164	3.878411952402416e-05	0.5005635037261077
1.45	-1875.0	-6.69532052e-05	0.000356408	-4.41	3.759464827138424e-05	0.48521170754999216
1.45	-1870.0	-2.45797825e-05	0.000347288	-4.548	3.583966648421448e-05	0.4625612041186318
1.45	-1865.0	-3.57081537e-05	0.000333192	-4.488	3.3271775975417074e-05	0.4294189725546941
1.45	-1860.0	-9.02799325e-05	0.00031087	-4.338	2.9528880481370477e-05	0.38111165230161775
1.45	-1855.0	-0.000111470029	0.000282707	-4.08	2.5297240745122695e-05	0.3264964015526423
1.45	-1850.0	-0.000123013412	0.000254931	-4.242	2.1578251611509326e-05	0.27849762643831494
1.45	-1845.0	-0.000123462284	0.00022623	-4.506	1.81355713494232e-05	0.23406500516580958
1.45	-1840.0	-0.000140915378	0.000201524	-4.488	1.545119294816862e-05	0.1994193338356574
1.45	-1835.0	-0.000154736706	0.000170947	-4.038	1.2436227722281874e-05	0.16050697548890136
1.45	-1830.0	-0.00014326709	0.000153572	-3.834	1.085658712057032e-05	0.14011949618230113
1.45	-1825.0	-0.000166936165	0.000137479	-3.762	9.471086450922728e-06	0.12223766521320897
1.45	-1820.0	-0.000166726675	0.000121922	-3.93	8.197283689628735e-06	0.10579745254177397
1.45	-1815.0	-0.00017662117	0.000109703	-3.792	7.238971669522556e-06	0.0934290907397211
1.45	-1810.0	-0.000191237654	0.000101507	-4.152	6.615847198660522e-06	0.0853867947634268
1.45	-1805.0	-0.000200540282	9.54275e-05	-4.23	6.163437606245529e-06	0.07954781392596644
1.45	-1800.0	-0.000204997028	8.99439e-05	-3.87	5.762325035206265e-06	0.07437089315498878
1.45	-1795.0	-0.000190158101	8.44602e-05	-3.21	5.367635470513167e-06	0.06927687029688238
1.45	-1790.0	-0.000194774218	7.94237e-05	-2.496	5.01066675022216e-06	0.06466968788453427
1.45	-1785.0	-0.000196695676	7.59368e-05	-2.52	4.766569147821472e-06	0.0615192656857489
1.45	-1780.0	-0.000189703641	7.29267e-05	-3.45	4.557817501028653e-06	0.058825032659200964
1.45	-1775.0	-0.000189806697	7.08704e-05	-4.116	4.416247771114368e-06	0.05699787657322723
1.45	-1770.0	-0.000188334067	7.08108e-05	-3.846	4.41215694265111e-06	0.056945078689612974
1.45	-1765.0	-0.000192510313	7.13174e-05	-1.98	4.446951275736165e-06	0.05739414839888096
1.45	-1760.0	-0.000193625875	7.15558e-05	-1.344	4.463342579985071e-06	0.05760570118868687
1.45	-1755.0	-0.000193140442	7.15856e-05	-1.548	4.465392281411585e-06	0.05763215546276192
1.45	-1750.0	-0.000187004394	7.23307e-05	-1.806	4.516698732816185e-06	0.058294337237004126
1.45	-1745.0	-0.000210630094	7.50427e-05	-1.908	4.704373774303709e-06	0.06071654708685636
1.45	-1740.0	-0.000218367169	7.9215e-05	-2.4	4.995987402013739e-06	0.06448023029050351
1.45	-1735.0	-0.000211397101	8.34768e-05	-1.614	5.297523332753738e-06	0.06837197474268918
1.45	-1730.0	-0.000183788825	8.76491e-05	-2.022	5.596383206126138e-06	0.07222918091816426
1.45	-1725.0	-0.000187951607	9.08081e-05	-2.604	5.825108421206309e-06	0.07518120088035826
1.45	-1720.0	-0.000188866158	9.6411e-05	-2.844	6.236070485495151e-06	0.08048524318745541
1.45	-1715.0	-0.000187395781	0.000103981	-2.868	6.802320773979829e-06	0.08779349800588013
1.45	-1710.0	-0.000180528205	0.000112892	-3.174	7.485634290370991e-06	0.09661261810209104
1.45	-1705.0	-0.000179593381	0.000125349	-3.378	8.472594031837647e-06	0.10935071896110733
1.45	-1700.0	-0.000190481263	0.000139237	-3.828	9.61899122383992e-06	0.12414658392163506
1.45	-1695.0	-0.000203380705	0.000152589	-3.66	1.0769881449043483e-05	0.13900043778249618
1.45	-1690.0	-0.000201483488	0.000167311	-3.972	1.2098109116188226e-05	0.15614308026017545
1.45	-1685.0	-0.000198071433	0.000183613	-4.2	1.3646886728579186e-05	0.17613222936721531
1.45	-1680.0	-0.00013723578	0.000201435	-4.092	1.5441945597139344e-05	0.19929998379011796
1.45	-1675.0	-0.000155028958	0.000226975	-4.236	1.8220321473141037e-05	0.23515882447613695
1.45	-1670.0	-0.000168158169	0.000239224	-4.308	1.9647953314277545e-05	0.253584417352819
1.45	-1665.0	-0.000171677283	0.000249894	-4.194	2.094650022044224e-05	0.2703439879471665
1.45	-1660.0	-0.000119614875	0.000260623	-4.368	2.2307233050195287e-05	0.28790615517580276
1.45	-1655.0	-0.000116978218	0.000268282	-4.236	2.331430617304501e-05	0.300903847454721
1.45	-1650.0	-0.00011573816	0.000271918	-4.2	2.3803272045547218e-05	0.3072146384007572
1.45	-1645.0	-0.000109711366	0.000270428	-4.164	2.36020350720018e-05	0.3046173927808138
1.45	-1640.0	-5.64258113e-05	0.000265541	-4.134	2.2950371742438e-05	0.29620676277297725
1.45	-1635.0	-5.93840151e-05	0.000258984	-3.972	2.2095654872238178e-05	0.28517544179697785
1.45	-1630.0	-7.81109295e-05	0.000248047	-4.014	2.0717909029065053e-05	0.26739369774898863
1.45	-1625.0	-0.000106089215	0.000236691	-3.918	1.9347337220529295e-05	0.24970454468818704
1.45	-1620.0	-9.52683368e-05	0.000225634	-4.188	1.8067938702706743e-05	0.23319211092398753
1.45	-1615.0	-0.00011335439	0.000213743	-4.116	1.674894418470851e-05	0.2161686351966154
1.45	-1610.0	-0.000137201955	0.000201643	-4.032	1.5463561920010977e-05	0.1995789727796088
1.45	-1605.0	-0.000156458184	0.000191064	-4.08	1.438388607662582e-05	0.18564424047974198
1.45	-1600.0	-0.000164281427	0.000181378	-4.026	1.34294630996208e-05	0.17332607223795937
1.45	-1595.0	-0.000149662697	0.000169517	-3.648	1.2302759612185852e-05	0.15878438217892607
1.45	-1590.0	-0.000159745845	0.000159771	-3.42	1.1409821051573193e-05	0.14725975663636215
1.45	-1585.0	-0.000150214022	0.000149966	-3.192	1.0539867932033829e-05	0.13603179047551275
1.45	-1580.0	-0.000157359793	0.000141622	-3.612	9.8209729393211e-06	0.12675344148165374
1.45	-1575.0	-0.000149751678	0.000133933	-3.702	9.17524616965881e-06	0.1184194311124953
1.45	-1570.0	-0.000145523571	0.00012675	-3.528	8.585990917363367e-06	0.11081426494402495
1.45	-1565.0	-0.00015821634	0.000121505	-3.354	8.16398271993334e-06	0.10536765678328373
1.45	-1560.0	-0.000184128982	0.000117273	-3.396	7.828434096412892e-06	0.10103693078714952
1.45	-1555.0	-0.000179548345	0.000112385	-3.054	7.44625860068157e-06	0.09610441955499345
1.45	-1550.0	-0.000182709852	0.000109166	-3.102	7.197670511014797e-06	0.09289604131474227
1.45	-1545.0	-0.000192143689	0.00010562	-3.138	6.926624038692742e-06	0.08939780612149295
1.45	-1540.0	-0.000200212458	0.000103772	-2.58	6.786514082280758e-06	0.08758949046165049
1.45	-1535.0	-0.000196822314	0.000101895	-2.262	6.6450005413029245e-06	0.08576305957277407
1.45	-1530.0	-0.000181197854	9.9421e-05	-2.268	6.459689884620571e-06	0.08337136542771952
1.45	-1525.0	-0.000182758372	9.69772e-05	-2.214	6.277981647771762e-06	0.08102616556733357
1.45	-1520.0	-0.000187558639	9.61428e-05	-2.076	6.216242463509028e-06	0.08022933473113004
1.45	-1515.0	-0.000190632296	9.30731e-05	-2.322	5.990420963459444e-06	0.07731479128735054
